trial_number,trial_id,state,obj_accuracy_min,obj_inference_ms,obj_model_params,accuracy,val_accuracy,test_accuracy,noisy_accuracy,inference_ms,model_params,n_conv_layers,conv_channels_l1,n_fc_layers,hidden_units_l1,input_resolution,dropout,learning_rate,batch_size,epochs,optimizer,hidden_units_l2,conv_channels_l2
0,trial_0000,TrialState.COMPLETE,0.585,0.14733131796873522,16842.0,0.415,0.415,0.4092,0.3918,0.14733131796873522,16842,1,8,1,32,16,0.08493564427131046,0.00018559980846490597,128,3,sgd,,
1,trial_0001,TrialState.COMPLETE,0.25749999999999995,0.18389297421874673,280458.0,0.7425,0.7425,0.7348,0.72,0.18389297421874673,280458,1,32,2,128,16,0.2736932106048628,0.00044684675025045853,64,5,sgd,128.0,
2,trial_0002,TrialState.COMPLETE,0.16249999999999998,0.15070672890624692,838922.0,0.8375,0.8375,0.83,0.8058,0.15070672890624692,838922,1,32,2,128,28,0.1427013306774357,0.00026000059117302663,128,2,adam,256.0,
3,trial_0003,TrialState.COMPLETE,0.3135,0.1536147664062515,132682.0,0.6865,0.6865,0.6726,0.6428,0.1536147664062515,132682,1,16,1,128,16,0.12439292868626489,0.0003022283475646735,128,3,sgd,,
4,trial_0004,TrialState.COMPLETE,0.29300000000000004,0.14895389570313,26826.0,0.707,0.707,0.7364,0.609,0.14895389570313,26826,2,16,2,32,16,0.2533615026041694,0.0019375501864120402,128,4,sgd,128.0,32.0
5,trial_0005,TrialState.COMPLETE,0.16400000000000003,0.14482059140625836,301994.0,0.836,0.836,0.8186,0.806,0.14482059140625836,301994,1,48,1,32,28,0.1292811728083021,0.0005838706626832951,128,5,sgd,,
6,trial_0006,TrialState.COMPLETE,0.16949999999999998,0.19971764218746912,49802.0,0.8305,0.8305,0.849,0.705,0.19971764218746912,49802,1,24,1,32,16,0.26885421896235145,0.0013335353166744255,64,4,adam,,
7,trial_0007,TrialState.COMPLETE,0.13049999999999995,0.2339032171875033,470122.0,0.8695,0.8695,0.8542,0.7722,0.2339032171875033,470122,1,8,2,256,28,0.04538940849623563,0.002322119672134761,32,5,adam,256.0,
8,trial_0008,TrialState.COMPLETE,0.15600000000000003,0.20453930625006222,99306.0,0.844,0.844,0.8338,0.6956,0.20453930625006222,99306,1,24,1,64,16,0.06465148563784551,0.002124581964224018,32,4,sgd,,
9,trial_0009,TrialState.COMPLETE,0.2015,0.1824356820312012,44938.0,0.7985,0.7985,0.778,0.5898,0.1824356820312012,44938,2,32,2,64,16,0.23076155385054364,0.0005339595444466471,64,2,adam,32.0,32.0
10,trial_0010,TrialState.COMPLETE,0.25049999999999994,0.18442388124997322,9850.0,0.7495,0.7495,0.755,0.662,0.18442388124997322,9850,2,8,1,32,16,0.228024468035746,0.00013916866602416925,64,4,adam,,16.0
11,trial_0011,TrialState.COMPLETE,0.36050000000000004,0.1446347445312579,125818.0,0.6395,0.6395,0.6752,0.6734,0.1446347445312579,125818,2,48,2,128,28,0.11461650085131377,0.0007459889030569367,128,3,sgd,128.0,16.0
12,trial_0012,TrialState.COMPLETE,0.16949999999999998,0.21788100781261477,55434.0,0.8305,0.8305,0.8174,0.804,0.21788100781261477,55434,2,16,1,32,28,0.33439204820488233,0.0010666901691534958,32,3,sgd,,32.0
13,trial_0013,TrialState.COMPLETE,0.15400000000000003,0.18780322968749985,71850.0,0.846,0.846,0.839,0.7074,0.18780322968749985,71850,2,16,1,128,16,0.19664635004673295,0.0005004667350239638,64,4,adam,,32.0
14,trial_0014,TrialState.COMPLETE,0.133,0.17295619453117084,396330.0,0.867,0.867,0.8468,0.6926,0.17295619453117084,396330,1,24,1,256,16,0.25731528737694126,0.0004752204099069312,64,5,adam,,
15,trial_0015,TrialState.COMPLETE,0.17400000000000004,0.17063734375000195,201450.0,0.826,0.826,0.8136,0.7676,0.17063734375000195,201450,1,32,1,32,28,0.2515771387119536,0.001977573171298517,64,2,sgd,,
16,trial_0016,TrialState.COMPLETE,0.22299999999999998,0.21786898750004724,138850.0,0.777,0.777,0.7672,0.7502,0.21786898750004724,138850,2,48,2,256,28,0.38024285877502245,0.0007031326952010881,32,3,sgd,128.0,8.0
17,trial_0017,TrialState.COMPLETE,0.15000000000000002,0.13401325976563072,219354.0,0.85,0.85,0.842,0.8176,0.13401325976563072,219354,2,8,2,256,28,0.14970831830244813,0.00035276329730040296,128,5,adam,64.0,16.0
18,trial_0018,TrialState.COMPLETE,0.12549999999999994,0.181224399218749,139866.0,0.8745,0.8745,0.8598,0.742,0.181224399218749,139866,2,24,2,128,28,0.017263964780230446,0.002071697940176812,64,4,adam,256.0,16.0
19,trial_0019,TrialState.COMPLETE,0.137,0.15411572460939382,95890.0,0.863,0.863,0.8498,0.6878,0.15411572460939382,95890,2,48,2,128,16,0.1238110465145311,0.001592479757508811,128,5,adam,256.0,24.0
