trial_number,trial_id,state,obj_accuracy_min,obj_inference_ms,obj_model_params,accuracy,val_accuracy,test_accuracy,noisy_accuracy,inference_ms,model_params,n_conv_layers,conv_channels_l1,n_fc_layers,hidden_units_l1,input_resolution,dropout,learning_rate,batch_size,epochs,optimizer,hidden_units_l2,conv_channels_l2,is_pareto
0,trial_0000,TrialState.COMPLETE,0.585,0.1473313179687352,16842.0,0.415,0.415,0.4092,0.3918,0.1473313179687352,16842,1,8,1,32,16,0.0849356442713104,0.0001855998084649,128,3,sgd,,,False
1,trial_0001,TrialState.COMPLETE,0.2574999999999999,0.1838929742187467,280458.0,0.7425,0.7425,0.7348,0.72,0.1838929742187467,280458,1,32,2,128,16,0.2736932106048628,0.0004468467502504,64,5,sgd,128.0,,True
2,trial_0002,TrialState.COMPLETE,0.1624999999999999,0.1507067289062469,838922.0,0.8375,0.8375,0.83,0.8058,0.1507067289062469,838922,1,32,2,128,28,0.1427013306774357,0.000260000591173,128,2,adam,256.0,,True
3,trial_0003,TrialState.COMPLETE,0.3135,0.1536147664062515,132682.0,0.6865,0.6865,0.6726,0.6428,0.1536147664062515,132682,1,16,1,128,16,0.1243929286862648,0.0003022283475646,128,3,sgd,,,True
4,trial_0004,TrialState.COMPLETE,0.293,0.14895389570313,26826.0,0.707,0.707,0.7364,0.609,0.14895389570313,26826,2,16,2,32,16,0.2533615026041694,0.001937550186412,128,4,sgd,128.0,32.0,False
5,trial_0005,TrialState.COMPLETE,0.164,0.1448205914062583,301994.0,0.836,0.836,0.8186,0.806,0.1448205914062583,301994,1,48,1,32,28,0.1292811728083021,0.0005838706626832,128,5,sgd,,,True
6,trial_0006,TrialState.COMPLETE,0.1694999999999999,0.1997176421874691,49802.0,0.8305,0.8305,0.849,0.705,0.1997176421874691,49802,1,24,1,32,16,0.2688542189623514,0.0013335353166744,64,4,adam,,,False
7,trial_0007,TrialState.COMPLETE,0.1304999999999999,0.2339032171875033,470122.0,0.8695,0.8695,0.8542,0.7722,0.2339032171875033,470122,1,8,2,256,28,0.0453894084962356,0.0023221196721347,32,5,adam,256.0,,True
8,trial_0008,TrialState.COMPLETE,0.156,0.2045393062500622,99306.0,0.844,0.844,0.8338,0.6956,0.2045393062500622,99306,1,24,1,64,16,0.0646514856378455,0.002124581964224,32,4,sgd,,,False
9,trial_0009,TrialState.COMPLETE,0.2015,0.1824356820312012,44938.0,0.7985,0.7985,0.778,0.5898,0.1824356820312012,44938,2,32,2,64,16,0.2307615538505436,0.0005339595444466,64,2,adam,32.0,32.0,False
10,trial_0010,TrialState.COMPLETE,0.2504999999999999,0.1844238812499732,9850.0,0.7495,0.7495,0.755,0.662,0.1844238812499732,9850,2,8,1,32,16,0.228024468035746,0.0001391686660241,64,4,adam,,16.0,False
11,trial_0011,TrialState.COMPLETE,0.3605,0.1446347445312579,125818.0,0.6395,0.6395,0.6752,0.6734,0.1446347445312579,125818,2,48,2,128,28,0.1146165008513137,0.0007459889030569,128,3,sgd,128.0,16.0,True
12,trial_0012,TrialState.COMPLETE,0.1694999999999999,0.2178810078126147,55434.0,0.8305,0.8305,0.8174,0.804,0.2178810078126147,55434,2,16,1,32,28,0.3343920482048823,0.0010666901691534,32,3,sgd,,32.0,False
13,trial_0013,TrialState.COMPLETE,0.154,0.1878032296874998,71850.0,0.846,0.846,0.839,0.7074,0.1878032296874998,71850,2,16,1,128,16,0.1966463500467329,0.0005004667350239,64,4,adam,,32.0,False
14,trial_0014,TrialState.COMPLETE,0.133,0.1729561945311708,396330.0,0.867,0.867,0.8468,0.6926,0.1729561945311708,396330,1,24,1,256,16,0.2573152873769412,0.0004752204099069,64,5,adam,,,False
15,trial_0015,TrialState.COMPLETE,0.174,0.1706373437500019,201450.0,0.826,0.826,0.8136,0.7676,0.1706373437500019,201450,1,32,1,32,28,0.2515771387119536,0.0019775731712985,64,2,sgd,,,False
16,trial_0016,TrialState.COMPLETE,0.2229999999999999,0.2178689875000472,138850.0,0.777,0.777,0.7672,0.7502,0.2178689875000472,138850,2,48,2,256,28,0.3802428587750224,0.000703132695201,32,3,sgd,128.0,8.0,True
17,trial_0017,TrialState.COMPLETE,0.15,0.1340132597656307,219354.0,0.85,0.85,0.842,0.8176,0.1340132597656307,219354,2,8,2,256,28,0.1497083183024481,0.0003527632973004,128,5,adam,64.0,16.0,False
