trial_number,trial_id,state,obj_accuracy_min,obj_inference_ms,obj_model_params,accuracy,val_accuracy,test_accuracy,noisy_accuracy,inference_ms,model_params,n_conv_layers,conv_channels_l1,n_fc_layers,hidden_units_l1,input_resolution,dropout,learning_rate,batch_size,epochs,optimizer,hidden_units_l2,conv_channels_l2
7,trial_0007,TrialState.COMPLETE,0.1304999999999999,0.2339032171875033,470122.0,0.8695,0.8695,0.8542,0.7722,0.2339032171875033,470122,1,8,2,256,28,0.0453894084962356,0.0023221196721347,32,5,adam,256.0,
41,trial_0041,TrialState.COMPLETE,0.139,0.1843147601562123,1273130.0,0.861,0.861,0.8406,0.7244,0.1843147601562123,1273130,1,24,2,256,28,0.2115748536108848,0.0024384668566783,64,5,sgd,256.0,
2,trial_0002,TrialState.COMPLETE,0.1624999999999999,0.1507067289062469,838922.0,0.8375,0.8375,0.83,0.8058,0.1507067289062469,838922,1,32,2,128,28,0.1427013306774357,0.000260000591173,128,2,adam,256.0,
5,trial_0005,TrialState.COMPLETE,0.164,0.1448205914062583,301994.0,0.836,0.836,0.8186,0.806,0.1448205914062583,301994,1,48,1,32,28,0.1292811728083021,0.0005838706626832,128,5,sgd,,
43,trial_0043,TrialState.COMPLETE,0.182,0.2540963531249218,156362.0,0.818,0.818,0.8288,0.7494,0.2540963531249218,156362,1,24,2,32,28,0.3535143539853703,0.0023464030614896,32,5,adam,128.0,
46,trial_0046,TrialState.COMPLETE,0.1965,0.2103607562499831,203130.0,0.8035,0.8035,0.7992,0.6814,0.2103607562499831,203130,2,8,1,256,16,0.1203854267787265,0.0011118752015101,64,4,sgd,,48.0
55,trial_0055,TrialState.COMPLETE,0.2225,0.2261308781250193,138794.0,0.7775,0.7775,0.7502,0.6714,0.2261308781250193,138794,2,16,1,256,16,0.0241408335962255,0.0002100813292597,32,3,sgd,,32.0
16,trial_0016,TrialState.COMPLETE,0.2229999999999999,0.2178689875000472,138850.0,0.777,0.777,0.7672,0.7502,0.2178689875000472,138850,2,48,2,256,28,0.3802428587750224,0.000703132695201,32,3,sgd,128.0,8.0
1,trial_0001,TrialState.COMPLETE,0.2574999999999999,0.1838929742187467,280458.0,0.7425,0.7425,0.7348,0.72,0.1838929742187467,280458,1,32,2,128,16,0.2736932106048628,0.0004468467502504,64,5,sgd,128.0,
21,trial_0021,TrialState.COMPLETE,0.287,0.2632448671874954,105018.0,0.713,0.713,0.731,0.6706,0.2632448671874954,105018,2,32,2,256,16,0.3020549022694476,0.000824655239824,32,2,sgd,128.0,16.0
37,trial_0037,TrialState.COMPLETE,0.312,0.2085625437500127,14274.0,0.688,0.688,0.6872,0.6756,0.2085625437500127,14274,2,16,1,32,28,0.2952134465705482,0.0001325267879951,32,3,sgd,,8.0
3,trial_0003,TrialState.COMPLETE,0.3135,0.1536147664062515,132682.0,0.6865,0.6865,0.6726,0.6428,0.1536147664062515,132682,1,16,1,128,16,0.1243929286862648,0.0003022283475646,128,3,sgd,,
11,trial_0011,TrialState.COMPLETE,0.3605,0.1446347445312579,125818.0,0.6395,0.6395,0.6752,0.6734,0.1446347445312579,125818,2,48,2,128,28,0.1146165008513137,0.0007459889030569,128,3,sgd,128.0,16.0
29,trial_0029,TrialState.COMPLETE,0.648,0.1397733183593708,179474.0,0.352,0.352,0.35,0.3126,0.1397733183593708,179474,2,48,2,128,28,0.3154388844898123,0.0001675105592872,128,2,sgd,128.0,24.0
44,trial_0044,TrialState.COMPLETE,0.6639999999999999,0.1658454097656303,41722.0,0.336,0.336,0.3602,0.3472,0.1658454097656303,41722,2,32,2,32,16,0.0324184863630591,0.0002114644112372,128,3,sgd,64.0,48.0
30,trial_0030,TrialState.COMPLETE,0.7455,0.1437678175780998,64890.0,0.2545,0.2545,0.2466,0.2374,0.1437678175780998,64890,2,32,2,64,28,0.3789133358447261,0.0001684684642921,128,2,sgd,128.0,16.0
